customer_id,total_revenue,total_orders,total_products,average_order_value,first_purchase,last_purchase
14646,280206.02,74,197491,3786.567837837838,2010-12-20T10:09:00Z,2011-12-08T12:12:00Z
18102,259657.3,60,64124,4327.621666666667,2010-12-07T16:42:00Z,2011-12-09T11:50:00Z
17450,194390.79,46,69973,4225.886739130435,2010-12-07T09:23:00Z,2011-12-01T13:29:00Z
16446,168472.5,2,80997,84236.25,2011-05-18T09:52:00Z,2011-12-09T09:15:00Z
14911,143711.17,201,80490,714.980945273632,2010-12-01T14:05:00Z,2011-12-08T15:54:00Z
12415,124914.53,21,77670,5948.310952380953,2011-01-06T11:12:00Z,2011-11-15T14:22:00Z
14156,117210.08,55,57768,2131.0923636363636,2010-12-03T11:48:00Z,2011-11-30T10:54:00Z
17511,91062.38,31,64549,2937.496129032258,2010-12-01T10:19:00Z,2011-12-07T10:12:00Z
16029,80850.84,63,40108,1283.3466666666666,2010-12-01T09:57:00Z,2011-11-01T10:27:00Z
12346,77183.6,1,74215,77183.6,2011-01-18T10:01:00Z,2011-01-18T10:01:00Z
